,supplier_name,Product_Designation,category
0, ,ILP P20,Utilities
1, ,ILP M35,Utilities
2, ,ILP N18,Utilities
3, ,ILP N24,Utilities
4, ,ILP N28,Utilities
5, ,ILP N37+,Utilities
6,Centrale Laitiere de Mahdra,JEURRE CON 200 gr VITAL,Groceries
7,Centrale Laitiere de Mahdra,"""KOMACE FRAIS NATUPE SUC",Groceries
8,ARTS MENASCRS-DISTRIBUTION,ROTARY NOSE TRIMMER,Utilities
9,ARTS MENASCRS-DISTRIBUTION,KRUPS NESPRESSO WHITE,Groceries
10,ARTS MENASCRS-DISTRIBUTION,5/2MP 3G LEAGOO BLACK,Utilities
11,ARTS MENASCRS-DISTRIBUTION,"SMARTPHONE 29 5 0"" 1/16G",Utilities
12,ARTS MENASCRS-DISTRIBUTION,5/2MP 3G LEAGOQO BLUE,Utilities
13,ARTS MENASCRS-DISTRIBUTION,"SMARTPHONE 29 5 0"" 1/16G",Utilities
14,ARTS MENASCRS-DISTRIBUTION,5/2MP 3G LEAGOO GOLD,Utilities
15,ARTS MENASCRS-DISTRIBUTION,"SMARTPHONE S8 5 72"" 3/32G 4G",Utilities
16,ARTS MENASCRS-DISTRIBUTION,BLUE,Utilities
17,ARTS MENASCRS-DISTRIBUTION,"SMARTPHONE S8 5 72"" 3/32G 4G ",Utilities
18,ARTS MENASCRS-DISTRIBUTION,BLACK,Utilities
19,ARTS MENASCRS-DISTRIBUTION,SMARTPHONE T8S 5 5deg 4/32G,Utilities
20,ARTS MENASCRS-DISTRIBUTION,13/5/2MP 4G LEAGOO GOLD,Utilities
21,ARTS MENASCRS-DISTRIBUTION,BAGUETTE SELFIE,Utilities
22,ARTS MENASCRS-DISTRIBUTION,BLUETOOTH SPEAKER,Utilities
23,MAGHREB FOOD Industries,emma,Groceries
24,MAGHREB FOOD Industries,Pois chiche mima,Groceries
25,MAGHREB FOOD Industries,FC LINGE MACHINE 3 L,Groceries
26,SOCODAL CONSERVES,DCT BOSTENE VFRT PI US 24 44 OUVERTURE FACIIT,Groceries
27,SOCODAL CONSERVES,DCT BOSTENE VERL PLUS 48 1/2 OUVERIURE FACILE,Groceries
28,SOCODAL CONSERVES,HARISA BOSTENE PI US 48 1/2 OUVERTURE FACILE,Groceries
29,ECC'EG,ORG *NIC PIN,Groceries
30,ECC'EG,PAPFR AIR NATUR ROSE,Groceries
31,ECC'EG,PAPER AIR NATUR VANILLE,Groceries
32,ECC'EG,LITTLE BOTTLE AIR NATUR 6ML (POT 72 PCS),Groceries
33,ECC'EG,"TOP RAL BLANC BRILLANT ""LUCIDO'",Household Items/Supplies
34,ECC'EG,NETTOYANT CIRCUIT ESSENCE,Household Items/Supplies
35,ECC'EG,LAVE VITRE B5L,Household Items/Supplies
36,ECC'EG,NETTOYANT D+GRAISSANT KING 750ML,Household Items/Supplies
37,ECC'EG,NETTOYANT SILICONE KING 500 ML,Household Items/Supplies
38,ECC'EG,COUVRE VOLANT SIMILICUIR,Household Items/Supplies
39,ECC'EG,NETTOYANT UNIVERSEL KING 400 ME,Household Items/Supplies
40,2S DISTRIBUTION,CAPN250  CAPPUCINO BOITE NATURE 250G GOLDEN,Groceries
41,2S DISTRIBUTION,COFFEE,Groceries
42,2S DISTRIBUTION, CAPPUCINO NATURE PAQUET DE (10128G),Groceries
43,2S DISTRIBUTION,125g,Groceries
44,2S DISTRIBUTION,DOYPACK 10 CAPSULES INTENSE GOLDEN,Groceries
45,2S DISTRIBUTION,COFFEE,Groceries
46,2S DISTRIBUTION,SELECTION BOCAL 45G GOLDEN COFFEE,Groceries
47,2S DISTRIBUTION,SELECTION BOCAL 190G GOLDEN COFFEE,Groceries
48,2S DISTRIBUTION,GOLD BOCAL 50G GOLDEN COFFEE,Groceries
49,2S DISTRIBUTION,GOLD BOCAL 200G GOLDEN COFFEE,Groceries
