image_id,supplier_name,supplier_details,receiver_name,receiver_details,tax_rate,TVA_amount,invoice_number,invoice_date,total_HT,total,Product_Designation
img20191018_09534180_0001.jpg, ,"LEADER PHONE S AR L,50bis Av 10 Decembre 1948 - 1004 El Menzah IV -Tunis-Tei 71235 823 - 71 235923-Fax 71235 323 -mail contact@leaderphone tn,MF 1148728/G/A/M/000 - RC 80183092010 - Code en Douane 845209V",MEODIS (GEANT TUNIS CITY),"783298MPMO00,CENTRE COMMERCIAL TUNIS CITY,2032 ARIANA,70834834.0",19%,1128240,"FC1802290,BL/Facture Ndeg:",14/09/18,5093801050,7066945,"ILP P20,ILP M35,ILP N18,ILP N24,ILP N28,ILP N37+"
img20191018_09553882_0001.jpg,Centrale Laitiere de Mahdra,"DKhia B P 123 Mahoia 5100 - Tunisie Tel (216) 73 677 273 - Fax (216) 73 677 257 - 6100 - Ligall 123 + ga Alyns,Capital Social 11 684 900DT-RC B16 441 -Code TVA 601 5165/P/M/000",".,MEDITERRANTENNE DIST MEDDIS","CENTRE CANMERCIAL BOURG,4ite WALL KTDQUN,Es,DJERBA,#fjv",19%,1105610,F470226$,OS/UI/LE,12908310,1440320,"JEURRE CON 200 gr VITAL,""KOMACE FRAIS NATUPE SUC"
img20191018_09564040_0001.jpg,ARTS MENASCRS-DISTRIBUTION,"UE a,RC B1120801997 MF CU,Sieve Social: 176 Avenue TaiebM'Hin 2060 Le Bardo,Tel: 71.575266 71 575 299#/Fax 71 575 277,Depot: 43 Avenue Habib,Beuguetfa Bab Saadoun,/ Fax . 71 570 859,Tel 71575 250",MEDDIS DISTRIBUTION,"CENTRE COMM. TUNIS CITY,2032 TUNIS ARIANA,MATRICULE FISCAL 783298 MEM 000",19%,23404300,Facture FA181265,05/12/18,1233840,1468870,"ROTARY NOSE TRIMMER,KRUPS NESPRESSO WHITE"
img20191018_09571140_0001.jpg,ARTS MENASCRS-DISTRIBUTION,"Societe SARL Capital 2 COC 009 D nars RCB11522000 TVA 710.50HK/A M/907,CD 7528104 CCB UBCI Chargu a Il 11104 O00 1403 002 768 83,Siege Social Zore Nord-Est des Berges dy Lac de Turn lotissement,de la zone IX Z 1 de Kherreddine 2015 El Kram,Suceursale : 32 rue des mete s cl arguiall 20386 Ttus,tel 70838 264/F3x 70 838 268,Email contact@pro2itn Web : www pro2i tn",STE MEDDIS,"CENTRE COMMERCIAL TUNIS CITY,Matricule Fiscal,0783298MPM000",19%,1573820,FV1804217,14/12/18,8723316,9867746,"5/2MP 3G LEAGOO BLACK,SMARTPHONE 29 5 0"" 1/16G,5/2MP 3G LEAGOQO BLUE,SMARTPHONE 29 5 0"" 1/16G,5/2MP 3G LEAGOO GOLD,SMARTPHONE S8 5 72"" 3/32G 4G,BLUE,SMARTPHONE S8 5 72"" 3/32G 4G ,BLACK,SMARTPHONE T8S 5 5deg 4/32G,13/5/2MP 4G LEAGOO GOLD,BAGUETTE SELFIE,BLUETOOTH SPEAKER"
img20191018_09574532_0001.jpg,MAGHREB FOOD Industries,"Sernail corn Adesse : I4.impasse X-01 Fstouma Bourguiba La souhra 2036,FA :51 151 552 Emi imimameghrebtondindusines,+ MF 00MA 11800708 - RC :D03H 105201,- RES OUILNM Eure ETKD,>>",Client : GEANT TUNIS CITY,"C. COMMERCIAL TUNIS CITY,ARIANA,TUNIS 2032,TUNISIE,MF/ 783298M/P/M/000,B/C Ndeg1810007723419 du", 7%,22300,BL/Facture Ndeg306/2018,07/10/2018,372600,341473,"emma,Pois chiche mima"
img20191018_09590609_0001.jpg,MAGHREB FOOD Industries,"FT SOCIETE PACH4 DETERGENT,66. Rug Ms#erda Yassmina EL KRAM 2089,titres en 71 733 654,RC/D2420212009 / Code DA : 1116183/V/AIMO,DS",MEDDIS DISTRIBUTION GEANT,TUNIS,19.00%,410967,FA180231,15/10/18,2141558,2574551,FC LINGE MACHINE 3 L
img20191018_09592614_0001.jpg,SOCODAL CONSERVES,"FT SOCIETE PACH4 DETERGENT,66. Rug Ms#erda Yassmina EL KRAM 2089,titres en 71 733 654,RC/D2420212009 / Code DA : 1116183/V/AIMO,DS",MEDDIS DISTRIBUTION,"HYPER GLANT TUNISCITY CCOOMIR EUNIS CITY ARIAN \-,70 836 000,70 835 920,Code TVA:,783298/M/P/M000",19.00%,104401,"<Ne : sssacte 2. .,( FACTURE",13/11/2018,"nan,nan,1491448",1596449,"DCT BOSTENE VFRT PI US 24 44 OUVERTURE FACIIT,DCT BOSTENE VERL PLUS 48 1/2 OUVERIURE FACILE,HARISA BOSTENE PI US 48 1/2 OUVERTURE FACILE"
img20191018_10003615_0001.jpg,ECC'EG,"1 rue de l'argent ZI La Soukra 2036 Tunis - Tel (216) 71 84 84 22- Fax (216),78 99 77,SARL au capital de 40000DT - MF 820556 X/A/M/000 - RC B12102003 - CCB Attjari bank 4028 144404700164,136",MEDDIS GEANT,"CENTRE COMMERCIAL TUNISCITY,2032,ARIANA,Tel 70 836 000,Matricule fiscale 783298M/P/M/006",19 %,367046,2642  2018,04/12/2018,19318210000000001,2299467,"ORG *NIC PIN,PAPFR AIR NATUR ROSE,PAPER AIR NATUR VANILLE,LITTLE BOTTLE AIR NATUR 6ML (POT 72 PCS),TOP RAL BLANC BRILLANT ""LUCIDO',NETTOYANT CIRCUIT ESSENCE,LAVE VITRE B5L"
img20191018_10011985_0001.jpg,ECC'EG,"SAR Lau capital de 19 000 DT-R C B 180561996,T.V.A 578473 M/A/M/000,8. lot Abir AFH 2046 Ain Zaghouan. Tunis,Tel 70 692788 Email: hakimbennaji@planet.tn,www.sunfreshtunisie.com",MEDDIS SA,"CEBALET BENN AMMAR,2032,Code TVA,0783298M/P/M/000,Le,Telephone,70834834.0",18%,25903430,FV180949,214118.0,1364963,1624906,"NETTOYANT D+GRAISSANT KING 750ML,NETTOYANT SILICONE KING 500 ML,COUVRE VOLANT SIMILICUIR,NETTOYANT UNIVERSEL KING 400 ME"
img20191018_10020105_0001.jpg,2S DISTRIBUTION,"Siege Socai RESIDENCE 2001 BLOC C,1053 TUNIS,Telephone,31 367 167,Ez,Fax,31.0 367.0 168.0,Emei,s c d@gnet tn,1510350R;B'M000,Code TVA,Commercial,SCD,Depot,MAGASIN CENTRAL,Convention,TARIFGMS2018",MEDDIS GEANT,"CE,CENTRE,COMMERCIAL TUNIS CT,COMMERCI,TY,2032 ARIANA-TUNIS,Telephone .,Code TVA,T83288M/P/M/G00",+ 707 893  19 20%!,324600,Facture Ndeg 1BFV5237,15/11/2018,1707893,"2032993,nan","CAPN250  CAPPUCINO BOITE NATURE 250G GOLDEN,COFFEE, CAPPUCINO NATURE PAQUET DE (10128G),125g,DOYPACK 10 CAPSULES INTENSE GOLDEN,COFFEE,SELECTION BOCAL 45G GOLDEN COFFEE,SELECTION BOCAL 190G GOLDEN COFFEE,GOLD BOCAL 50G GOLDEN COFFEE,GOLD BOCAL 200G GOLDEN COFFEE,GOLD BOCAL 100G GOLDEN COFFEE,SELECTION BOCAL 90G GOLDEN COFFEE, CHICORE CAFE BOITE 250G GOLDEN,COFFEE,CHICORE CAFE BOCAL 100G GOLDEN,COFFEE,CAPPUCINO BOITE CHOCOLAT 250G,GOLDEN COFFEE,CHICORE CAFE BOCAL 200G GOLDEN,COFFEE"
