,supplier_name,Product_Designation,category
0,,ilp p20 ,
1,,ilp m35 ,
2,,ilp n18 ,
3,,ilp n24 ,
4,,ilp n28 ,
5,,ilp n37 ,
6,centrale laitiere de mahdra ,jeurre con 200 gr vital ,
7,centrale laitiere de mahdra ,komace frais natupe suc ,
8,arts menascrs distribution ,rotary nose trimmer ,
9,arts menascrs distribution ,krups nespresso white ,
10,arts menascrs distribution ,5 2mp 3g leagoo black ,
11,arts menascrs distribution ,smartphone 29 5 0 1 16g ,
12,arts menascrs distribution ,5 2mp 3g leagoqo blue ,
13,arts menascrs distribution ,smartphone 29 5 0 1 16g ,
14,arts menascrs distribution ,5 2mp 3g leagoo gold ,
15,arts menascrs distribution ,smartphone s8 5 72 3 32g 4g ,
16,arts menascrs distribution ,blue ,
17,arts menascrs distribution ,smartphone s8 5 72 3 32g 4g ,
18,arts menascrs distribution ,black ,
19,arts menascrs distribution ,smartphone t8s 5 5deg 4 32g ,
20,arts menascrs distribution ,13 5 2mp 4g leagoo gold ,
21,arts menascrs distribution ,baguette selfie ,
22,arts menascrs distribution ,bluetooth speaker ,
23,maghreb food industries ,emma ,
24,maghreb food industries ,pois chiche mima ,
25,maghreb food industries ,fc linge machine 3 l ,
26,socodal conserves ,dct bostene vfrt pi us 24 44 ouverture faciit ,
27,socodal conserves ,dct bostene verl plus 48 1 2 ouveriure facile ,
28,socodal conserves ,harisa bostene pi us 48 1 2 ouverture facile ,
29,ecc eg ,org nic pin ,
30,ecc eg ,papfr air natur rose ,
31,ecc eg ,paper air natur vanille ,
32,ecc eg ,little bottle air natur 6ml pot 72 pcs ,
33,ecc eg ,top ral blanc brillant lucido ,
34,ecc eg ,nettoyant circuit essence ,
35,ecc eg ,lave vitre b5l ,
36,ecc eg ,nettoyant d graissant king 750ml ,
37,ecc eg ,nettoyant silicone king 500 ml ,
38,ecc eg ,couvre volant similicuir ,
39,ecc eg ,nettoyant universel king 400 me ,
40,2s distribution ,capn250 cappucino boite nature 250g golden ,
41,2s distribution ,coffee ,
42,2s distribution ,cappucino nature paquet de ,
43,2s distribution ,125g ,
44,2s distribution ,doypack 10 capsules intense golden ,
45,2s distribution ,coffee ,
46,2s distribution ,selection bocal 45g golden coffee ,
47,2s distribution ,selection bocal 190g golden coffee ,
48,2s distribution ,gold bocal 50g golden coffee ,
49,2s distribution ,gold bocal 200g golden coffee ,
50,2s distribution ,gold bocal 100g golden coffee ,
51,2s distribution ,selection bocal 90g golden coffee ,
52,2s distribution ,chicore cafe boite 250g golden ,
53,2s distribution ,coffee ,
54,2s distribution ,chicore cafe bocal 100g golden ,
55,2s distribution ,coffee ,
